,Text Tweet
148,"Jangan mudik, kasian keluarga di kampung nanti ketularan covid. Wisata aja, covid gak menyerang orang2 yg berwisata kok... 😘"
149,Bismillah... Mudik lebaran. https://t.co/yqzk2o43tx
150,"Presiden Joko Widodo bersama semua menteri, wakil presiden, semua kepala lembaga itu tidak akan mudik atau pulang k… https://t.co/rKd16fFkH9"
151,"POLRES KARANGANYAR OPERASI KESELAMATAN CANDI 2021

Dalam pelaksanaannya, Satlantas Polres Karanganyar mengimbau kep… https://t.co/iTGWP4TNWJ"
152,"KerjaKeras Maju Negeriku
Pekerja yang dalam kondisi DARURAT boleh mudik. 
https://t.co/x1Vc0Omq5l"
153,Presiden Joko Widodo bersama Semua pejabat negara tidak akan melaksanakan mudik lebaran 2021. KerjaKeras Maju Neger… https://t.co/PFPSsN5A46
154,Apa cuma hari raya idul Fitri yang tahun ini di larang mudik tapi penjagaannya super ketat? La hari besar kemarin kemarin gimana apa kabar 🙄
155,"@ismailfahmi Ga mudik, cuma wisata lokal aja mas sesuai anjuran bapak @sandiuno ."
156,"@evalez_fr @_andy_ch @legnobronzee Iya teh...akukan disini.
Main sini teh kalo LG mudik ya."
157,"New post (Cegah Mudik, Ditlantas Polda Sulsel Dirikan Posko Penyekatan) has been published on Rakyat Sulsel -… https://t.co/jNpdockcfS"
158,"Kegiatan mudik diperbolehkan bagi pekerja yang mengalami kondisi darurat.
KerjaKeras Maju Negeriku https://t.co/Zl4OHI0cXj"
159,"Cegah Mudik, Ditlantas Polda Sulsel Dirikan Posko Penyekatan https://t.co/Sgp2o2Cvcm"
160,"@wotahmehlonhazz Sesuai dgn SE No 13 Tahun 2021 Tentang Peniadaan Mudik, penerbangan dibatasi dan hanya diperuntukk… https://t.co/UIwQgSumNI"
161,"@ismailfahmi Klo ada yg protes tempat wisata dibuka, mudik dilarang. 

Jawabannya, karena mudik tahun 2019 aja juml… https://t.co/QXIPhp35yK"
162,Presiden Joko Widodo bersama Semua pejabat negara tidak akan melaksanakan mudik lebaran 2021.KerjaKeras Maju Negeri… https://t.co/NU4sjbEnLP
163,"Yg utama dari mudik adalah, post foto  sekeluarga"
164,"@SuhangSuheng @ganjarpranowo Aku yo mrebes mili🥺🥺
2019 kurang sehat, gak mudik 
2020 korona, lauk daun raiso mudik… https://t.co/2ZMBZ4wmCc"
165,"Presiden Jokowi dan semua Mentri memberikan teladan pada masyarakat dengan tidak Mudik ke kampung halaman
KerjaKera… https://t.co/9Ex45TYJ3r"
166,"kegiatan mudik diperbolehkan bagi pekerja yang mengalami kondisi darurat
KerjaKeras Maju Negeriku https://t.co/6ud9nWjIcU"
167,"KerjaKeras Maju Negeriku
Pemerintah juga menghimbau agar para pekerja migran juga tidak melakukan perjalanan mudik. 
https://t.co/OQvzxi56mu"
168,Pemerintah melarang aktivitas mudik untuk menekan penyebaran Covid-19. Agar lonjakan kasus baru tidak terjadi &amp; Ind… https://t.co/0GB94CmFNf
169,@eckowahyudi 16/17 mas badri yo gelem pokok gasido mudik jare
